Loaded summary from lodopab_out/summary.json
IMG_SIZE=362, NUM_ANGLES=1000, DET_COUNT=513, PHI=[-1.0471975511965976, 1.0471975511965976]
BETA (mean y_diff_norms) = 8.358424e-01
[init=lw | resnet] epoch 021/50 | train=0.000292 | val=0.000324
[init=lw | resnet] epoch 022/50 | train=0.000286 | val=0.000317
[init=lw | resnet] epoch 023/50 | train=0.000284 | val=0.000316
[init=lw | resnet] epoch 024/50 | train=0.000279 | val=0.000314
[init=lw | resnet] epoch 025/50 | train=0.000278 | val=0.000318
[init=lw | resnet] epoch 026/50 | train=0.000270 | val=0.000315
[init=lw | resnet] epoch 027/50 | train=0.000268 | val=0.000306
[init=lw | resnet] epoch 028/50 | train=0.000265 | val=0.000308
[init=lw | resnet] epoch 029/50 | train=0.000263 | val=0.000307
[init=lw | resnet] epoch 030/50 | train=0.000260 | val=0.000303
[init=lw | resnet] epoch 031/50 | train=0.000256 | val=0.000302
[init=lw | resnet] epoch 032/50 | train=0.000254 | val=0.000308
[init=lw | resnet] epoch 033/50 | train=0.000255 | val=0.000304
[init=lw | resnet] epoch 034/50 | train=0.000249 | val=0.000303
[init=lw | resnet] epoch 035/50 | train=0.000248 | val=0.000300
[init=lw | resnet] epoch 036/50 | train=0.000246 | val=0.000301
[init=lw | resnet] epoch 037/50 | train=0.000247 | val=0.000301
[init=lw | resnet] epoch 038/50 | train=0.000241 | val=0.000297
[init=lw | resnet] epoch 039/50 | train=0.000240 | val=0.000298
[init=lw | resnet] epoch 040/50 | train=0.000238 | val=0.000294
[init=lw | resnet] epoch 041/50 | train=0.000238 | val=0.000295
[init=lw | resnet] epoch 042/50 | train=0.000235 | val=0.000297
[init=lw | resnet] epoch 043/50 | train=0.000232 | val=0.000294
[init=lw | resnet] epoch 044/50 | train=0.000231 | val=0.000297
[init=lw | resnet] epoch 045/50 | train=0.000230 | val=0.000293
[init=lw | resnet] epoch 046/50 | train=0.000227 | val=0.000294
[init=lw | resnet] epoch 047/50 | train=0.000227 | val=0.000293
[init=lw | resnet] epoch 048/50 | train=0.000226 | val=0.000293
[init=lw | resnet] epoch 049/50 | train=0.000224 | val=0.000290
[init=lw | resnet] epoch 050/50 | train=0.000221 | val=0.000293
[init=lw | resnet] best val=0.000290 saved to runs_lodopab/init_lw/checkpoints/resnet_best.pt
[init=lw | resnet] example saved to runs_lodopab/init_lw/examples/resnet_example.png
[init=lw | nsn] epoch 001/50 | train=0.003946 | val=0.003294
[init=lw | nsn] epoch 002/50 | train=0.003210 | val=0.003021
[init=lw | nsn] epoch 003/50 | train=0.003065 | val=0.002955
[init=lw | nsn] epoch 004/50 | train=0.003017 | val=0.002916
[init=lw | nsn] epoch 005/50 | train=0.002989 | val=0.002897
[init=lw | nsn] epoch 006/50 | train=0.002968 | val=0.002883
[init=lw | nsn] epoch 007/50 | train=0.002950 | val=0.002866
[init=lw | nsn] epoch 008/50 | train=0.002934 | val=0.002853
[init=lw | nsn] epoch 009/50 | train=0.002921 | val=0.002842
[init=lw | nsn] epoch 010/50 | train=0.002909 | val=0.002839
[init=lw | nsn] epoch 011/50 | train=0.002904 | val=0.002836
[init=lw | nsn] epoch 012/50 | train=0.002898 | val=0.002833
[init=lw | nsn] epoch 013/50 | train=0.002890 | val=0.002826
[init=lw | nsn] epoch 014/50 | train=0.002886 | val=0.002825
[init=lw | nsn] epoch 015/50 | train=0.002882 | val=0.002821
[init=lw | nsn] epoch 016/50 | train=0.002876 | val=0.002818
[init=lw | nsn] epoch 017/50 | train=0.002870 | val=0.002815
[init=lw | nsn] epoch 018/50 | train=0.002866 | val=0.002814
[init=lw | nsn] epoch 019/50 | train=0.002863 | val=0.002811
[init=lw | nsn] epoch 020/50 | train=0.002859 | val=0.002809
[init=lw | nsn] epoch 021/50 | train=0.002855 | val=0.002807
[init=lw | nsn] epoch 022/50 | train=0.002851 | val=0.002807
[init=lw | nsn] epoch 023/50 | train=0.002849 | val=0.002805
[init=lw | nsn] epoch 024/50 | train=0.002844 | val=0.002805
[init=lw | nsn] epoch 025/50 | train=0.002842 | val=0.002804
[init=lw | nsn] epoch 026/50 | train=0.002840 | val=0.002805
[init=lw | nsn] epoch 027/50 | train=0.002837 | val=0.002801
[init=lw | nsn] epoch 028/50 | train=0.002835 | val=0.002799
[init=lw | nsn] epoch 029/50 | train=0.002832 | val=0.002797
[init=lw | nsn] epoch 030/50 | train=0.002831 | val=0.002800
[init=lw | nsn] epoch 031/50 | train=0.002828 | val=0.002798
[init=lw | nsn] epoch 032/50 | train=0.002827 | val=0.002797
[init=lw | nsn] epoch 033/50 | train=0.002824 | val=0.002797
[init=lw | nsn] epoch 034/50 | train=0.002823 | val=0.002796
[init=lw | nsn] epoch 035/50 | train=0.002822 | val=0.002799
[init=lw | nsn] epoch 036/50 | train=0.002820 | val=0.002796
[init=lw | nsn] epoch 037/50 | train=0.002818 | val=0.002795
[init=lw | nsn] epoch 038/50 | train=0.002818 | val=0.002795
[init=lw | nsn] epoch 039/50 | train=0.002817 | val=0.002794
[init=lw | nsn] epoch 040/50 | train=0.002815 | val=0.002800
[init=lw | nsn] epoch 041/50 | train=0.002815 | val=0.002796
[init=lw | nsn] epoch 042/50 | train=0.002814 | val=0.002796
[init=lw | nsn] epoch 043/50 | train=0.002813 | val=0.002800
[init=lw | nsn] epoch 044/50 | train=0.002812 | val=0.002794
[init=lw | nsn] epoch 045/50 | train=0.002812 | val=0.002801
[init=lw | nsn] epoch 046/50 | train=0.002811 | val=0.002796
[init=lw | nsn] epoch 047/50 | train=0.002810 | val=0.002797
[init=lw | nsn] epoch 048/50 | train=0.002810 | val=0.002798
[init=lw | nsn] epoch 049/50 | train=0.002810 | val=0.002797
[init=lw | nsn] epoch 050/50 | train=0.002811 | val=0.002797
[init=lw | nsn] best val=0.002794 saved to runs_lodopab/init_lw/checkpoints/nsn_best.pt
[init=lw | nsn] example saved to runs_lodopab/init_lw/examples/nsn_example.png
[init=lw | dpnsn] epoch 001/50 | train=0.002599 | val=0.001855
[init=lw | dpnsn] epoch 002/50 | train=0.001778 | val=0.001692
[init=lw | dpnsn] epoch 003/50 | train=0.001658 | val=0.001618
[init=lw | dpnsn] epoch 004/50 | train=0.001621 | val=0.001614
[init=lw | dpnsn] epoch 005/50 | train=0.001588 | val=0.001582
[init=lw | dpnsn] epoch 006/50 | train=0.001562 | val=0.001550
[init=lw | dpnsn] epoch 007/50 | train=0.001504 | val=0.001485
[init=lw | dpnsn] epoch 008/50 | train=0.001322 | val=0.001022
[init=lw | dpnsn] epoch 009/50 | train=0.000864 | val=0.000763
[init=lw | dpnsn] epoch 010/50 | train=0.000775 | val=0.000671
[init=lw | dpnsn] epoch 011/50 | train=0.000644 | val=0.000621
[init=lw | dpnsn] epoch 012/50 | train=0.000641 | val=0.000616
